Series Name	"Series Code"	"Country Name"	"Country Code"	"2016 [YR2016]"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Tuvalu"	"TUV"	"0.980044543429844"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Uganda"	"UGA"	"0.143267094782708"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ukraine"	"UKR"	"4.49397140394795"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"United Arab Emirates"	"ARE"	"22.0408285243639"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"United Kingdom"	"GBR"	"5.77679598481933"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"United States"	"USA"	"15.502203980958"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Uruguay"	"URY"	"1.975862788"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Uzbekistan"	"UZB"	"2.88278596076978"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Vanuatu"	"VUT"	"0.527000323357166"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Venezuela, RB"	"VEN"	"5.50071273780138"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Vietnam"	"VNM"	"2.05756591685295"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Virgin Islands (U.S.)"	"VIR"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"West Bank and Gaza"	"PSE"	"0.740606555214825"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Yemen, Rep."	"YEM"	"0.390479571528636"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Zambia"	"ZMB"	"0.314182894901441"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Zimbabwe"	"ZWE"	"0.782776886458609"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Arab World"	"ARB"	"4.71284470207848"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Caribbean small states"	"CSS"	"8.49080685642596"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Central Europe and the Baltics"	"CEB"	"6.37762331806433"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Early-demographic dividend"	"EAR"	"2.34569263096484"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"East Asia & Pacific"	"EAS"	"6.0717886276003"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"East Asia & Pacific (excluding high income)"	"EAP"	"5.56298627770382"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"East Asia & Pacific (IDA & IBRD countries)"	"TEA"	"5.61853424164434"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Euro area"	"EMU"	"6.54514043992154"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Europe & Central Asia"	"ECS"	"6.88218186673209"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Europe & Central Asia (excluding high income)"	"ECA"	"7.58359717855516"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Europe & Central Asia (IDA & IBRD countries)"	"TEC"	"7.40054402650059"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"European Union"	"EUU"	"6.46846221503357"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Fragile and conflict affected situations"	"FCS"	"0.988604312290028"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Heavily indebted poor countries (HIPC)"	"HPC"	"0.276852353412915"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"High income"	"HIC"	"10.392929791579"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"IBRD only"	"IBD"	"4.41862739879963"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"IDA & IBRD total"	"IBT"	"3.4536393342985"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"IDA blend"	"IDB"	"0.887013215940355"
